,content
1074,date 19th october 2021 277th day
1075,facilitating institutional delivery and supporting birth planning
1076,esic medical college hospital faridabad haryana
1077,the fiscal deficit of the central government stood at 46 per cent of the be at end november 2021 compared to 135 per cent in 2020 21 and 114 per cent during 2019 20
1078,csir is working with intel india and iiit to develop faster and less expensive covid 19 testing and coronavirus genome sequencing to improve sars cov 2 prevention
1079,khadi e market portal is providing local artisans with an additional platform to sell their products
1080,nic has developed an online irn preparation and printing tool for small tax payers
1081,department of fertilizers is committed toward providing fertilizers at reasonable prices to the farmer of the country at the right time
1082,globally premium financing is prevalent and may be introduced in ifsc
1083,148 km long bengaluru suburban transport project at cost of
1084,ministry of textiles has taken following initiatives for the benefits of handloom weavers and artisans across the country
1085,in the meanwhile ministry of home affairs clarifies media reports that company directors and management will be punished if their employees test positive for covid19 are false the guidelines prescribe penalties instead for offences committed by employers
1086,women are not being inducted in the sea going avenues of indian navy
1087,indira gandhi national old age pension scheme ignoaps 3163
1088,continuously coordinating with coal india and railways for augmenting coal supply at critical stations and diverting rakes wherever required
1089,the ministry of labour is implementing the ncs project for transformation of the national employment service
1090,member of lok sabha shri s ahluwalia said the internet today is the backbone of community connecting people with not just businesses and services but to each other am proud to be part inauguration of the twin internet exchanges at bardhaman and durgapur today by nixi alongwith the hon ble mla for durgapur shri lakshmanghorui and am thankful to the hon ble minister of state meity shri rajeev chandrasekhar for helping me keep my word to the people of the constituency of ensuring that the digital india that our prime minister shri narendra modiji dreamt of comes to fruition for all of us and especially the people of this region of the nation
1091,the government of india launched the pli scheme aimed at promoting the growth of the automotive industry
1092,india merchandise trade preliminary data of june 2022
1093,16 action points to focus on farmer income storage blue economy and animal husbandary
1094,air force helicopters sprayed locust spray in rajasthan and gujarat
1095,the government has been working for the development of the minorities with dedication and the results are commendable
1096,digital exhibition of ministry of finance corporate affairs
1097,flexi mou between directorate general of training and industries for conducting training programmes as per their specific needs
1098,drinking water supply schemes worth rs 15 381 crore have been approved for madhya pradesh
1099,the vision of sagarmala is to reduce logistics cost for both domestic and exim cargo with minimal infrastructure investment studies under sagarmala have identified opportunities for reducing overall logistics costs thereby improving the overall efficiency of the economy and increasing competitiveness of exports
1100,ministry of msme thanks the ministries cpses and the india inc for co operating with the government in this challenging time
1101,assistance for sc st candidates for competitive exams
1102,database of about 280 million workers created with more than 400 occupations of workers for better dissemination of social welfare schemes for informal workers cash transfers were made directly to bank accounts of 200 million women during covid 19 pandemic period about 3 million street vendors were provided collateral free loans to help them resume their businesses under swanidhi scheme duration of maternity leave increased from 12 weeks to 26 weeks to facilitate safe and orderly migration and for totalization benefit india supports signing of labour mobility agreements lma and the social security agreements
1103,daily positivity rate 1 less than 3 for last 15 days
1104,some people want to destabilize manipur in order to gain power
1105,shri gangwar emphasises the need for collective efforts by all stakeholders towards eradication of child labour
1106,neramac is getting revamp package from the government
1107,star air has begun operating the belgaum surat kishangarh route under the udan 3 scheme
1108,we need greater degree of shared idealism
1109,this information was given in written reply by the union minister of agriculture and farmers welfare shri narendra singh tomar in lok sabha today
1110,it is here that planning becomes key factor in urban governance
1111,the supply of oxygen for industrial purposes is banned from 22 till further orders
1112,dr angamuthu chairman of apeda and v subhash director of agriculture kerala exporter and importer took part in the virtual flag off ceremony held yesterday
1113,captures development activities carried out during the year including age of bushes and no of workers employed and their welfare activities
1114,pm wants you to do well and benefit
1115,a number of steps have been taken to plan and implement jal jeevan mission jjm
1116,english rendering of pm address at niio seminar swavlamban in new delhi
1117,the keynote address for the event was made by shri lok ranjan secretary ministry of development of north eastern region
1118,this information was given by the minister of state for environment forest climate change shri ashwini kumar choubey in written reply in rajya sabha today
1119,8 crore women have been mobilized into more than 74 lakh shgs2 crore women 34 have been mobilized in the last 3 years
1120,on 28th august 2019 the cabinet had approved the setting up of cdri with its secretariat in new delhi and financial support of rs 480 crore
1121,there will be series of interactive sessions to understand the concerns of secondary steel sector senior officials from various government departments will attend them
1122,the details of beneficiaries of pm yuva yojana are as follows
1123,o mumbai port marked an increase in traffic of 17 and 11 respectively
1124,shri piyush goyal emphasizes on fair dealing in engagement with the us
1125,the cabinet committee on economic affairs chaired by the prime minister shri narendra modi has approved the proposal for one time window for central and state psus to surrender non operational coal mines
1126,51 cr total tests conducted so far
1127,he further said that every countrymen has question as to why people don speak against pakistan and instead processions are being taken out against these people
1128,the third decade of the 21st century started on strong footing of expectations and aspirations
1129,the survey says the indian start up ecosystem has been progressing well despite the covid 19 pandemic
1130,india has installed 200 ai pf artificial intelligence supercomputing system in dac it has achieved global ranking 62 in the top 500 most powerful supercomputer systems in the world
1131,the festival director spoke about the initiatives being taken by films division this miff
1132,the ministry of human resource development mhrd is working with sector skill councils to develop courses and curricula for apprenticeship internship embedded degree diplomaprogrammes
1133,the minister of state for personnel public grievances and pensions and prime minister office gave information in lok sabha today
1134,shri jayachandran special sub inspector of police vigilance and anti corruption special investigation cell chennai 600016 is available at 91
1135,in the month of march 2021 indian railways loading was 122 million tonnes which is up 24 in the same period last year the company earned rs 113477 crores from freight loading
1136,the bs iv emission norms have been enforced across the country since april 2017
1137,coating developed by jncasr may prevent transmission of infection
1138,70 fpos of beekeeper honey producers including 65 by nabard and 5 by nafed have been formed
1139,approx 250 km of dfc is in haryana state
1140,ecommittee supreme court of india department of justice
1141,the annual campaigns aimed at improving water quality are launched by the government and the state governments
1142,a total of 32 lakh citizens reached involved by nehru yuva kendra sangathan nyks through 2lakhs designated activities under the second phase of catch the rain project
1143,the agreement was signed byshri rajat kumar mishra additional secretary department of economic affairs ministry of finance on behalf of the government of india mr budithi rajsekhar principal secretary department school education on behalf of the government of andhra pradesh andmr junaid ahmad country director india on behalf of the world bank
1144,image 1 shall be valid for period of twelve months following its commencement from 1st december 2022
1145,reliance jio infocomm in jamnagar semi urban rural with samsungas equipment supplier
1146,the participants of juniorskills took part in an event organised by the ministry of skill development entrepreneurship
1147,heubach is manufacturer of corrosion protection pigments
1148,india will be fully atmanirbhar in silk production in the next two years says union textiles minister smriti zubin irani
1149,meghalaya will send another 75 samples for genome sequencing on june 30 the number of people recovering from sars cov 2 in the state has reached over 800
1150,india active caseload is currently at 14 35 569
1151,
1152,keel laying for second frigate of p11356 project at goa shipyard limited
1153,the approximate translation of pm speech is approximate
1154,the ceremony on shri ramanujacharya ji is taking place at the same time as the amrit mahotsav of independence
1155,the prime minister addressed at the book release of shri ram bahadur rai book
1156,indian pm narendra modi congratulates mark rutte on his re election to fourth term as pm
1157,this information was given in written reply by the union minister of agriculture and farmers welfare shri narendra singh tomar in lok sabha today
1158,as we gather virtually at the raisina dialogue this year call upon you to emerge as powerful voice for human centric approach
1159,the aircraft operation from indore and bhopal has doubled in the last one year the central government is going to bring small aircraft scheme to strengthen connectivity in tier 2 and 3 cities
1160,dr angamuthu chairman apeda spoke about the initiatives taken by the organisation to boost exports from purvanchal region shri praveen kumar lakskar district magistrate mirzapur attended the meet
1161,the online payment module of gram panchayats is being developed by the ministry of pachayati raj
1162,the number of advance claims for final pf settlement claims has increased
1163,both indian and us labs will work together to reduce costs and find alternative chemistry for energy transition
1164,bbci has the state of the art facility for treatment of common cancers of the north east however there are still limited cancer treatment facilities in the region 95 of cancer patients from sikkim 58 from nagaland 16 from manipur and 13 from meghalaya go out of the region for treatment
1165,department for promotion of industry and internal trade
1166,it is the special occasion of sajibu cheiraoba
1167,the 24 hour portal service for filing of rti requests was introduced by the modi government
1168,the nmdc pavilion has been inaugurated at the expo nmdc is celebrating 75 years of independence
1169,swami vivekanandaji used to say that more important than calamity is to learn from it he also said that we need restraint and courage in disasters he was talking about the earthquake that hit kutch
1170,with more than 4 cr covid19 vaccine doses india crosses landmark milestone18 lakh vaccine doses given till 7 pm today
1171,india is very dynamic and dynamic country
1172,this ministry has reduced the compliance burden on business as well as on citizens related to public procurement policy for mses order 2012 vide notification no 3237
1173,the ministry of health and family welfare is working with other ministries to make it hassle free darshan for the devotees
1174,the vice president of india shri venkaiah naidu today addressed the retreat session of the asem summit
1175,arunachal pradesh state legal services authority apslsa established 10 legal aid clinics in ten district headquarters one lakh copies of iec materials on laws and government schemes printed and disseminated and door to door legal awareness campaign reached out to 6643 people in 39 villages
1176,one locust swarm which moved from jhunjhunu in rajasthan yesterday to haryana has now moved towards upstate agriculture departments of haryana up are making necessary arrangements for control wherever the swarm finally settles in addition to 2 ground control teams deployed in haryana 5 more teams from rajasthan are also aiding control operations in updrones tractor mounted sprayers and fire tender vehicles have been deployed to undertake locust control
1177,the minister said that active private sector is strengthening the supply side through capacity building exercises dedicated green energy corridors initiated by the mnre have made it easier for renewable energy developers to avail grid connectivity and evacuate up to 40 000 mw of large scale renewable energy from renewable energy rich parts of india
1178,csir is conducting clinical trials of well proven drugs in partnership with industry towards the development of multiple therapeutic options for covid 19
1179,the government should focus on helping small farmers
1180,ministry of shipping has facilitated more than 1 lakh crew change in indian ports and charted flights
1181,india produced record quantity of agricultural produce last year but karnataka lags behind other states in terms of exports
1182,the government has re categorized the proposals it received up to 30th september 2020 into category b2
1183,the indian minister for environment and climate change called for greater adoption of clean energy sources to meet future energy needs
1184,today achievement in the vaccination exercise segregated by population priority groups is as follows
1185,smt ranjana prakash desai has been nominated as the new chairperson of press council of india
1186,jumka pathriposhi block district sundargarh
1187,the union minister of railways piyush goyal flagged off new 3 000 hp cape gauge locomotive
1188,the popular chief minister of gujarat shri bhupendrabhai minister of panchayat department shri brijesh ji my colleagues in parliament shri cr patil ji hasmukhbhai narharibhai and kiritbhai president of panchayat parishad sister nayana ji and large number of representatives of panchayati raj system who are strengthening the roots of democracy and my brothers and sisters
1189,covid 19 vaccination update day 144
1190,in addition to physical rehabilitation equal emphasis has been given to capacity building of dam owners to ensure availability of trained and skilled manpower for better operation of dams during all seasons
1191,border management and security cooperation
1192,jal jeevan mission implementation in full swing in punjab state plans universal coverage by 2022 with special emphasis on volumetric tariff to minimising water wastage
1193,english rendering of pm address at inauguration of nine medical colleges in uttar pradesh
1194,389 lmt wheat purchased by food corporation of india in rabi marketing season 2020 21
1195,the procurement of cotton for the season 2020 21 shall commence from 1st october 2020 and cotton corporation of india cci will start purchase of faq grade cotton from 1st october 2020 onwards
1196,it is important to develop crop production systems with low use of chemicals and proper advisory to farmers on what to use before harvest
1197,challenge open to all indian cities with population above 5 lakh
1198,partnership for free and open indo pacific underpinned by inclusiveness and rules based order
1199,the gis odop digital map of india provides details of odop products of all the states
1200,this information was given by the minister of railways communications and electronic information technology shri ashwini vaishnaw in written reply to question in lok sabha today
1201,annexure number of start ups invested year wise and state wise
1202,the renovated jallianwalabagh will remind the new generation about the history of this holy place and will inspire them to learn about its past
1203,sufficient transmission capacity has been planned in the country for evacuation of power from generating stations to the load centres 12719 ckm of transmission lines and 69592 mva of transformation capacity have been installed against the target of 19255 ckm and 81545 mva respectively for the year 2021 22
1204,daily positivity rate at 2 less than 5 for 15 consecutive days
1205,prime minister narendra modi congratulated the people of himachal pradesh on their achievements in the last 7 8 years
1206,7 acquisition of 2 coastal research vessels crvs as replacement of 2 old crvs for coastal pollution monitoring testing of various underwater components and technology demonstration
1207,parties will organize national consultation for line ministries of the government of india concerned departments of state governments and select academic institutions working in the field of millets mainstreaming
1208,the commission constituted under article 340 of the constitution with the approval of president on 2nd october 2017 is going to submit its report up to 31st july 2020
1209,dr sanjeev kumar balyan mos fahd attended the idy 2022 celebrations at kedarnath dham in rudrapayag uttarakhand
1210,maternal mortality ratio mmr of india has declined by 443 points since 1990
1211,centre asks states uts to gear up for roll out of covid19 vaccine
1212,shri pradhan had launched the mission purvodaya in steel sector wherein he had stressed driving the growth of eastern india through creation of integrated steel hub and adding significantly to the country steel making capacity
1213,the election will be held on saturday the 6th august 2022 between the hours of 10 m and 5 m at the place of polling fixed under the rules
1214,to provide support in policy making for the development of riverine areas and river sensitive urban planning
1215,the tables below show the state wise gst compensation igst settlement released for the financial year 2020 21
1216,shri arjun meghwal said that by the time india completes 100 years of independence in 2047 it should lead the world in music
1217,sunil arora chief election commissioner ceci has been associated with 14 elections of state assemblies since september 2017 and also with 2019 lok sabha general election he praised the performance of ceo and deos of bihar during the recent assembly election
1218,33 itis have signed agreement to participate in the programme
1219,india has one of the lowest mortality rates in the world
1220,india active caseload stands at 3 33 924 lowest in 155 days
1221,with an annual intake of 100 mbbs students on or after feb 2019
1222,meghalaya has confirmed cases of covid19
1223,shri naqvi says that print remained closed for long time cinema moved from big screen to small screen but indians continue to read newspapers
1224,national water awardees delegates and the audience will be joining live through virtual platform the event is being organised in hallno 5 at vigyanbhawan the award will also be telecast live on the facebook page mowrrdgr
1225,
1226,india cumulative vaccination coverage has reached 27 crore today
1227,our target is to become manufacturing hub of construction equipments in the world shri nitin gadkari
1228,the prime minister visited pathri mata mandir in paraunkh village
1229,in the ongoing kharif marketing season kms 2020 21 government continues to procure kharif 2020 21 crops at msp from farmers as per existing msp schemes as was done in previous seasons
1230,the vice president shri venkaiah naidu today called for making india vishwaguru once again in the education sector and said the national education policy 2020 is step in that direction
1231,
1232,laser guided atgm system has been successfully developed and successfully tested by drdo
1233,steps taken by the government for developing the linkage between educational institutions industries and d institutions are as follows
1234,in his address acharya balkrishna said that patanjali is working vigorously for promotion of ayurveda at global level and pledged all support to all stakeholders
1235,he informed that the government is already encouraging adaptation of hydrogen fuels and technology for the mobility sector and many industries like steel cement and glass manufacturing industries have already started using hydrogen for heating requirements
1236,
1237,candidates should be allowed to appear in single examination to reduce their financial burden
1238,the british empire established police force in 1861 with the aim of having an agency which would uphold their imperial interests during the freedom struggle the police was mainly used to suppress and oppress our freedom fighters and revolutionaries
1239,the chart below shows trends in monthly gross gst revenues during the current year
1240,ministers expressed concerns on the risks and ethical dilemmas related to artificial intelligence and encouraged members to work together to deal with such concerns and risks of artificial intelligence and its ethical and responsible uses
1241,music is universal language of human experience
1242,the proposal to provide tap water supply to 2 885 schools and 418 anganwadi centres in rajasthan has been approved by the slssc
1243,ground floor birendra bhavan vivekananda road silchar assam
1244,the new biomethane waste management rules specify source segregation of bmw into four categories and prescribe category specific effective technological options for treatment
1245,the centre is concerned about the issue of locust infestation in india an advisory has been issued and the centre is in touch with the affected states 15 sprayers will start arriving from britain in the next 15 days and 45 more will be procured in month or one and half months
1246,delhi airport has launched new online self declaration and quarantine exemption portal
1247,the government has taken the following steps to safeguard the interests of erstwhile ordnance factory board ofb
1248,matangini hazra padmaja naidu and gulab kaur were freedom fighters from india
1249,indian pharma industry is producing enough hcq to meet both domestic demand and to meet export obligations the production and transportation of hcq is being ensured by department of pharmaceuticals
1250,the 8th high level meeting of the group of ministers on covid 19 was held at nirman bhawan today
1251,dr jitendra singh india environment minister has announced the national funding opportunity on sustainable aviation fuels
1252,maritime india vision 2030 launched setting targets to be achieved by maritime sector over the next decade the major port authorities act 2021 1 of 2021 comes into force inland vessels bill 2021 replaces over 100 years old inland vessels act 1917 1 of 1917 ushering new era promoting ease of doing business the marine aids to navigation act 2021notified
1253,shri kotecha the organiser of the blogging contest said that the contest aims to raise global awareness about the healing and therapeutic powers of yoga
1254,the minister addresses the mammoth jan kalyan public rally at kathua in jammu
1255,shri naidu urged the people of india to promote and propagate india culture and heritage
1256,who has initiated the high burden to high impact hbhi initiative in 11 high malaria burden countries including india implementation of hbhi initiative in four indian states will start in july 2019
1257,he highlighted that even though cop 26 has been delayed by year parties have already commenced implementation of their nationally determined contributions ndcs and therefore it is crucial that paris agreement rulebook is concluded at cop 26
1258,ministry of parliamentary affairscelebrates the constitution day
1259,the government continues to undertake measures to develop the civil aviation sector
1260,rbi will closely monitor the impact of covid 19 on macroeconomic and financial conditions
1261,13 states and uts have vaccinated over 65 of the registered healthcare workers bihar leads with over 79
1262,the film is also selected as the chadian entry for the best international feature film to the 94th academy awards 2022
1263,the department of posts runs 9 small savings schemes through 1 lakh post offices it promotes jan suraksha yojana and betibachaobetipadhaoabhiyaan for empowerment of girl children
1264,click here for festival locations
1265,the move will help cil reduce its carbon footprint drastically and achieve sustainable goals
1266,the quarterly bulletin for the quarter july september 2021 is available at the website of the ministry
1267,the growth of india textile industry depends on the attractiveness of the domestic market and on investments in high end textile machinery and products
1268,the occasion of the tele law day was celebrated
1269,jal jeevan mission jjm uses technology to improve water supplies and improve efficiency
1270,11 466 new cases were reported in the last 24 hours
1271,my dear countrymen there is country thousands of km away from india chile is rich in indian culture yoga is very popular there there are more than 30 yoga schools in santiago the international day of yoga is celebrated with great fervor in chile
1272,the shc scheme has promoted sustainable farming and increased the yield of crops by 5 6
1273,dignitaries are being asked to participate in various events aimed at promoting the people
1274,in up 3 million fingerlings were ranched
1275,all 48 classrooms of the vivekananda lecture theatre complex are going to be classrooms to enable students to join the classrooms and study online
1276,the total fdi inflow grew by 55 from us 231 billion in 2008 14 to us 358 billion in 2014 20
1277,the nios course is available on moocs in all major subjects at secondary sr level on
1278,in the pursuit of increasing charging infrastructure penetration we have also partnered with urban local bodies in hyderabad noida ahmedabad jaipur chennai and are in discussion with others across india
1279,was reading the letter of guruprasad ji for you
1280,rbi psl mandate will be used to encourage banks and nbfcs to finance electric vehicles evs
1281,
1282,the strategic partnership model has been approved for the construction of submarine
1283,information technology enabled services serservices
1284,sh bhagwanth khuba union minister of state for chemicals and fertilisers will lead the yoga celebrations from gol gumbaz vijayapura karnataka on 21st june 2022
1285,narendra modi will dedicate institute of teaching and research in ayurveda at jamnagar and national institute of ayuroveda nia at jaipur to the nation on 5th october 2020
1286,the monumentmitrasplan has been signed by the parties
1287,the mission aims to develop and bring quantum computers secured communications through fibre and free space quantum encryption and crypt analysis and associated technologies within reach in the country and address india specific national and regional issues
1288,nielit centers are gateways for prosperity for youth of ner they shall act as catalyst to pm narendra modi ji vision of digital india digital north east rajeev chandrasekhar next unicorn can be from nagaland or anywhere in ner technology digital skills are driving opportunities in new india rajeev chandrasekharvisited nagaland tool room training centre discussed strategies for encouraging entrepreneurship in remote districts
1289,fig 1 shows mao reaction chamber while coating is in progress and detailed schematic of the deposition mechanism
1290,esic extends date for filing of esi contribution for the month of april 2021
1291,daily positivity rate 1 less than 2 for last 30 days
1292,mission karmayogi is to convert administration from rule based learning to role based learning
1293,vice president of vietnam is visiting india
1294,the cadets will continue to put in maximum effort in the cleanliness of beaches and raising of awareness amongst the citizens till the end of the year and ensure cleaner and greener tomorrow
1295,some more glimpses from the dinner in the honour of president kovind
1296,the programme of vigyan sarvatra pujyate is being held in connection with the national science day on february 28 national science communication awards and prizes will be presented
1297,this information was given by union minister for road transport and highways shri nitin gadkari in written reply in the rajya sabha
1298,the squadron name is derived from the nocturnal bird of prey the eagle owl
1299,the union minister of state for shipping and chemical fertilizers shri mansukh mandaviya has taken part in roundtable discussion on hiv aids at the world economic forum in davos
1300,the khelo india university games will be held in march
1301,additional exports is likely to create an estimated 7 10 million jobs
1302,union minister of state independent charge science technology minister of state independent charge earth sciences mos pmo personnel public grievances pensions atomic energy and space dr jitendra singh today launched the amritgrand challenge program titled care to identify 75 start up innovations in telemedicine digital health mhealth with big data ai block chain and other technologies
1303,indiafightscorona 19 as on september 5th 2021 till 11 00 am above 60 years 20 45 60 years 30 18 44 years 49 we4vaccine largestvaccinationdrive unite2fightcorona pic twitter com nkaa6yadoy
1304,timely approvals for coach refurbishment and itineraries
1305,the government of india has sanctioned rs 945 crn for startup fund
1306,100 days campaign to be launched on the occasion of gandhi jayanti under the jal jeevan mission to provide potable piped water supply in schools anganwadi centres
1307,total beneficiaries in 2020 21 in lakh
1308,the coach interior has been improved with the addition of luminescent aisle markers illuminated berth indicators and night lights
1309,zonal railways dealt with the rail roko agitation with utmost patience the agitation was called by political party to highlight the local incident of custodial death of dyfi student in kolkata
1310,cil aim is to increase domestic coal supplies to the consumers rationalize coal movements review certain levies and incentivize domestic coal consumption to attract away consumers away from coal imports cil target is to produce 1 bt of coal per year by 2023 24
1311,at least six people died and many others were injured in plane accident in kozhikode
1312,average mathematics score in class 8 government and aided schools
1313,i the indian seafarer arriving on the vessel would undergo the covid 19 test
1314,prime minister narendra modi will inaugurate the tenements constructed under the pradhan mantri awas yojana urban scheme in tamil nadu
1315,
1316,today people from the country and abroad feel changed environment when they step out of the airport kashi has completed the ring road work in record time many roads leading to banaras have been widened
1317,the work of implementing the agreement reached for the permanent peace and rapid development of assam is going on at fast pace today the foundation stone of several projects worth rs 1000 crore has been laid here today
1318,the rodtepscheme aims to refund to exporters embedded central state and local duties taxes that were not being rebated refunded and were putting their exports at disadvantage the credits can be transferred to other importers
1319,35 shri lal baboo yadav sepoy bmp 14 bihar 800014
1320,shivamogga subbanna kannada poet and musician has died
1321,the ministry of corporate affairs organises various programmes under the themes of jan bhagidari mahotsav
1322,the deadline for online nominations for padma awards to be announced on the occasion of republic day 2021 is 15th september 2020
1323,india first covid 19 mrna vaccine developed in partnership with dbt birac under mission covid suraksha
1324,adb india sign 177 million loan for state road improvements in maharashtra
1325,
1326,caqm has prepared comprehensive plan to reduce air pollution in delhi and the national capital region ncr
1327,the ministry of ayush implemented the centrally sponsored scheme of the national ayush mission nam during the financial year 2015 16 to 2020 21 to promote the cultivation of medicinal plants
1328,service veterans military officers civil dignitaries attend the function
1329,tarini has done circumnavigation of the globe navika sagar parikrama in 2017 with all women officers crew
1330,the president reminded the members of the uttar pradesh legislative assembly of their duties
1331,top decline in march 2021 as compared to march 2020
1332,the minister of health and family welfare has already released the phase ii of the covid 19 grants to 33 states and union territories the amount released in this phase amounts to total of inr 1352 crores the grants were released in tranches during the months of august september and october 2020
1333,rs 3 lakh crores collateral free automatic loans for business including msmes
1334,there are 43 668 villages in the north east of which 6 798 have become har ghar jal under the programme there are 14 aspirational districts in the region where 18 lakh households are provided with tap water connections out of 68 936 anganwadi centres in this region 35 944 52 are now serving the needs of the villages
1335,
1336,the adoption of drone technology is the need of the times and will benefit farmers the government is making efforts to infuse new technologies in agriculture
1337,integration of eastern rajasthan canal project of rajasthan and parbati kalisindh chambal link
1338,holds briefing with them for ensuring smooth conduct of elections
1339,goa has 2 753 patients with covid 19 infection the number of active patients is 1 128 three day lockdown with stricter provisions will be enforced from friday
1340,project management unit pmu project management unit has been appointed by ministry for handholding of coal block allottees for obtaining various approvals clearances for early operationalisation of coal mines
1341,it facilitated 100 online creation and submission of subsidy bills and their processing in transparent manner
1342,the recent extreme weather event has affected agriculture in india the department of agriculture and the department of food and farmers welfare da fw issued weather related advisories to states
1343,the vice chairman of aim prof ramesh chand congratulated the aim team on compilation of the books
1344,the pandemic has changed the g20 priorities
1345,even though the east asian countries have increased their spending on d india research and development spending has almost stagnated
1346,year end review 2021 ministry of agriculture and farmers welfare
1347,discharge of untreated and partially treated sewage is major cause of pollution of river and water bodies according to the report published by central pollution control board cpcb in march 2015 sewage generation from urban areas in the country is estimated to be 61 948 million litres per day there is 23 277 million litres of available sewage treatment capacity
1348,amid covid19 crisis assam higher secondary education council decides not to hold hs 1st year exam and promote all the students of the 1st year to 2nd year
1349,7 textile parks to be established over 3 years
1350,shri s napalchiyal former chief secretary and former chairman uttarakhand tribal commission addressed the closing ceremony of the uttarakha tribal festival in the presence of shri s toliya director uttarakhamhand tribal welfare department shri yogendra rawat additional director uttrakhand tribal welfare department and other dignitaries
1351,the union minister of state for health and family welfare dr bharati pravin pawar stated this in written reply in the loksabha today
1352,in march 2020 it was proposed to set up special dedicated desk of invest india for north eastern region
1353,siwalik sediments document the evolution of mammalian groups from the middle miocene through the pleistocene treeshrews are rare elements of the fossil record
1354,ministry of culture is participating in milan 2022 wherein indira gandhi national centre for the arts ignca is organising cultural programmes in collaboration with eastern naval command and government of andhra pradesh under the aegis of azadi ka amrit mahotsava from 26thto 28thfebruary 2022 at ramakrishna beach and milan village visakhapatnam
1355,district cooperative central bank ltd kakinada
1356,more than 4 crore balance and unutilized vaccine doses still available with states utswith more than 1 crore doses in pipeline
1357,the international day of yoga 2022 is to be celebrated on 21st june 2022 yoga event was organised by the ministry of environment forest and climate change
1358,facilitating trade investment and technology activities through telecommunication ict industry delegations and visits events exhibitions etc as mutually agreed
1359,the direct flight service between belagavi and kishangarh has been inaugurated
1360,further investigations are in progress
1361,ii gold coins having gold content not below 99 and gold findings other than imports of such goods through post courier or baggage
1362,our success will depend on four aspects resolve conscience hard work and spirit of federalism
1363,fci delivered about 5 mmt of food grains to the state governments since nationwide lock down under various schemes
1364,measures taken by government to preserving and promoting the traditional cultural heritage of india
1365,dac fw is educating farmers through following use of electronic media as follows
1366,dr harsh vardhan has proposed number of solutions to improve health care in india
1367,ministry of commerce industry is promoting the growth of the gem and jewellery industry
1368,about 95 lakh farmers have already been benefitted from the ongoing kms procurement operations with msp value of rs 1 826 crore
1369,ugc has issued an advisory on 07 12 2021 for one day awareness programmes on sexual harassment in the work place prevention prohibition and redressal of sexual harassment of women employees and students in higher educational institutions regulations 2015 in the universities affiliated colleges
1370,centre is comitted to ensure availability of medical oxygen through provision of liquid medical oxygen storage tanks and medical gas pipeline system in district hospitals unite2fightcorona indiafightscorona pic twitter com 2ebl4hrscq
1371,more than 4cr 4 75 43 650 balance and unutilized covid vaccine doses are still available with the states uts to be administered
1372,prime minister narendra modi has democratised indian air space union minister for civil aviation shri jyotiraditya scindiajharsuguda airport is perfect example of cooperative federalism shri scindiaspecial joy ride for elderly and children will be arranged during the udan utsav celebrations coinciding with azadi ka amrit mahotsav shri scindia
1373,shri piyush goyal urges startups to incorporate and list in india and not move to tax havensthe startup revolution must be taken to tier 2 and tier 3 cities and villages of india shri piyush goyalshri piyush goyal calls for more focus on cyber security and data privacy in an era of digitization of the global economygovernment efforts to reduce compliance burden has encouraged innovation and made it easier to begin operate grow and exit businesses shri piyush goyal
1374,he concluded by requesting the gurukul family to celebrate the azadi ka amrit mahotsav in novel way following the teachings of pujya shastriji maharaj
1375,the draft national water framework bill has been circulated to states uts and the concerned central ministries for their views comments
1376,the electoral bonds shall be valid for fifteen 15 calendar days from the date of issue
1377,the position of power supplies to all such plants is reviewed every day at the level of secretary ministry of power along with the concerned energy secretaries of the states cmd posoco and central electricity authority
1378,today the manufacturing sector has to be seen from new viewpoint as to what was the reason that money stuck in the banks
1379,the government has approved setting up of 22 aiims and 75 projects of upgradation of government medical colleges under pmssy
1380,prescribed minimum base stipend amount for 1st year of training
1381,the statue of netajisubhash chandra bose unveiled in raj bhawan chennai today has been sponsored by bharatiyavidyabhawan
1382,in last 10 years around 3 million hectares of forest cover added in india enhancing the combined forest cover to almost one fourth of the country total area pmindia is on track to achieve its national commitment of land degradation neutrality pmrestoration of 26 million hectares of degraded land aimed by 2030 to achieve an additional carbon sink of 2 to 3 billion tonnes of carbon dioxide equivalentcentre of excellence is being set up in india to promote scientific approach towards land degradation issuesit is our sacred duty to leave healthy planet for our future generations pm
1383,indian nuclear installations and nuclear power stations are secure from cyber attacks
1384,development and environment conservation should go hand in hand vice president
1385,all efforts are being made to ensure timely delivery of the essential medical supplies and ration to the nodal points of various states thereby equipping the state governments and supporting agencies to combat the contagion effectively and efficiently
1386,dr jitendra singh launched single national portal for biotech researchers and start ups
1387,this information was given in written reply by the union minister of textiles to the rajya sabha today
1388,over 153 cr vaccine doses have been administered so far under nationwide vaccination drive
1389,industry representatives and the eg 6 deliberated in detail and resolved several challenges on critical issues of health care intervention pertaining to ramping up production and procurement of ventilators ppes testing kits in collaboration with several other egs apart from the ways to step up the relief and rehabilitation and information dissemination
1390,the arunachal pradesh state government has signed an agreement with trifed for the implementation of the scheme for marketing minor forest produce
1391,there will be moratorium of 7 years on payment of principal and maximum tenor for repayment will be 10 years
1392,chinese arabic and spanish versions of website will attract tourists from these regions shri prahlad singh patel
1393,dd india launched on hotstar in us uk and canada
1394,majority of the pending projects are in north east himalayan states uts
1395,mca allows companies to hold egmsthrough vc or oavm complemented with voting facility simplified voting through registered emails
